source,dataset,train_frac,scale,data_length,n_pairs,mse_pyreco,mse_lstm,mse_p_value,r2_pyreco,r2_lstm,time_pyreco,time_lstm
data_efficiency,lorenz,0.7,large,1000.0,5,0.001480328313899931,0.0002744866622954008,0.007067739793116788,0.994946979383152,0.999063054627406,13.744415378570556,7.892924833297729
data_efficiency,lorenz,0.7,large,2000.0,5,1.708836075853671,0.6914880517157033,0.0023319665668351313,0.6357673115681661,0.8526116368598547,29.78813509941101,26.785415363311767
data_efficiency,lorenz,0.7,large,3000.0,5,0.003258705242623584,0.0002042931953531519,0.0007411043134052694,0.9984751213514229,0.9999044030348101,45.87028799057007,32.3741512298584
data_efficiency,lorenz,0.7,large,5000.0,5,7.452631913356513e-05,2.3088810078308598e-05,0.010751512303769225,0.999945560067691,0.9999831341025243,79.00017390251159,20.849421548843384
data_efficiency,lorenz,0.7,large,7000.0,5,2.7978443558318925e-05,6.6820346590023024e-06,0.00025122119914637565,0.9999763774292522,0.9999943582695676,114.53469600677491,37.56038551330566
data_efficiency,lorenz,0.7,large,10000.0,5,2.5363984971706344e-05,3.202841895080951e-06,7.222473746896733e-06,0.9999767720461918,0.9999970668858353,173.9270607948303,57.50944261550903
data_efficiency,lorenz,0.7,medium,1000.0,5,0.0019801762396379893,0.0010542112723223392,0.15162694528139342,0.9932407755293671,0.9964015068525409,2.4399997711181642,10.846333503723145
data_efficiency,lorenz,0.7,medium,2000.0,5,1.7428359356701932,1.6998201317699473,0.6203933951708251,0.6285203552788738,0.6376890298644781,5.45666093826294,27.63390507698059
data_efficiency,lorenz,0.7,medium,3000.0,5,0.0028940430377134138,0.0042857891174148035,0.1401478676861098,0.9986457613967199,0.9979945076860686,8.37613615989685,40.00878376960755
data_efficiency,lorenz,0.7,medium,5000.0,5,8.530957080514808e-05,1.3845202278251043e-05,0.0018562919634103542,0.9999376831257207,0.9999898863665401,14.480562257766724,45.44280638694763
data_efficiency,lorenz,0.7,medium,7000.0,5,4.070735851549439e-05,1.4781146570527513e-05,0.0038156097502744127,0.999965630237633,0.9999875200820277,20.12651581764221,55.716015338897705
data_efficiency,lorenz,0.7,medium,10000.0,5,3.0669065282335284e-05,8.569243335948329e-06,2.2975193439847785e-05,0.9999719137338824,0.9999921524165624,29.492119455337523,73.63704080581665
data_efficiency,lorenz,0.7,small,1000.0,5,0.003158106417617805,0.002325588676335955,0.15062091774980213,0.9892199745903788,0.9920617288627851,0.31120100021362307,12.6118980884552
data_efficiency,lorenz,0.7,small,2000.0,5,1.8152743337812207,2.1639866679408497,0.17879022324582408,0.6130803532432811,0.5387534866964995,0.6741930484771729,28.192962074279784
data_efficiency,lorenz,0.7,small,3000.0,5,0.006996313722118295,0.0040065528191118235,0.0015643923518512276,0.9967261447049396,0.9981251735295515,1.1767622470855712,43.97548351287842
data_efficiency,lorenz,0.7,small,5000.0,5,0.0002267322601015088,1.9446043731855837e-05,0.0025216968488783052,0.9998343767807707,0.99998579506788,2.02810115814209,60.77949948310852
data_efficiency,lorenz,0.7,small,7000.0,5,0.00016608645317629483,1.0356789209583456e-05,0.000912761135079589,0.999859771006123,0.9999912556255921,2.878673267364502,88.80771479606628
data_efficiency,lorenz,0.7,small,10000.0,5,0.0001224601430997031,1.5367726825396785e-05,0.0028575329918564744,0.9998878528531524,0.9999859264682094,4.0613189220428465,84.30392470359803
data_efficiency,mackeyglass,0.7,large,1000.0,5,0.0024971667591078216,0.001106899172181882,0.053614555401076826,0.9971673707384774,0.9987965130818756,13.406500244140625,7.0710615634918215
data_efficiency,mackeyglass,0.7,large,2000.0,5,0.0011906799201979548,4.404762515475307e-05,0.0008047095471429522,0.9987711540999124,0.9999544680180374,29.339608716964722,17.89035258293152
data_efficiency,mackeyglass,0.7,large,3000.0,5,0.0010197175271046749,3.780223841265296e-05,0.00010148210063853548,0.998979680550487,0.9999623704380622,45.5608332157135,28.90328392982483
data_efficiency,mackeyglass,0.7,large,5000.0,5,0.0007546678853588759,1.778426100841665e-05,3.430193340792707e-05,0.9992396812338203,0.9999821175041849,78.0362368106842,40.69214525222778
data_efficiency,mackeyglass,0.7,large,7000.0,5,0.0006566188447549701,2.0425030069073006e-05,2.9185504155869253e-06,0.9993394920728074,0.9999795494635437,111.73468518257141,51.45058460235596
data_efficiency,mackeyglass,0.7,large,10000.0,5,0.000556958328161638,3.0376766214974687e-06,1.31590646688301e-06,0.9994397261460474,0.9999969361959241,160.94380755424498,83.04971008300781
data_efficiency,mackeyglass,0.7,medium,1000.0,5,0.0026559573007194732,0.0005615439994575849,0.0053719741577359014,0.9969680064220816,0.9994371247860782,2.306820821762085,6.729339170455932
data_efficiency,mackeyglass,0.7,medium,2000.0,5,0.0010950590623841198,3.803330796154647e-05,0.00047401357059687294,0.9988723116170799,0.9999609550574527,5.133391523361206,14.487617921829223
data_efficiency,mackeyglass,0.7,medium,3000.0,5,0.0008929593232427042,1.9652786993374173e-05,1.5192550788996815e-05,0.9991085157867869,0.9999804391774234,8.054224634170533,23.727210426330565
data_efficiency,mackeyglass,0.7,medium,5000.0,5,0.0006650940779196004,9.659619665202509e-06,1.8540376748443558e-05,0.9993300444482477,0.9999902566822751,14.156260538101197,35.18350486755371
data_efficiency,mackeyglass,0.7,medium,7000.0,5,0.0005554301646498401,7.668377893246932e-06,3.3491901099157935e-06,0.9994414413665303,0.999992272520327,19.7609956741333,46.44077820777893
data_efficiency,mackeyglass,0.7,medium,10000.0,5,0.00043211960839724205,2.1783911514916873e-06,1.0147374944428339e-05,0.9995655480396813,0.999997815170657,29.06667799949646,80.0014395236969
data_efficiency,mackeyglass,0.7,small,1000.0,5,0.0027578630568793503,0.000636318506169605,0.006574983825255323,0.9968700574340067,0.9993477830818911,0.29140381813049315,8.536030292510986
data_efficiency,mackeyglass,0.7,small,2000.0,5,0.001138235812603478,4.076278784408725e-05,0.005274850796110783,0.998828107122459,0.9999583269905953,0.6376856327056885,21.459454250335693
data_efficiency,mackeyglass,0.7,small,3000.0,5,0.0008923856015739258,2.0635646460697712e-05,0.0015935466477004262,0.9991141812139933,0.9999795216087837,1.0127858161926269,39.803622579574586
data_efficiency,mackeyglass,0.7,small,5000.0,5,0.0005845502118190327,1.4789127778246046e-05,0.0002715048686603673,0.9994108470514732,0.9999851497116644,1.794438648223877,50.778411340713504
data_efficiency,mackeyglass,0.7,small,7000.0,5,0.00045329568279937345,1.5733320770072827e-05,3.754339041728242e-05,0.9995441633622313,0.9999842114378446,2.5444550037384035,62.52641482353211
data_efficiency,mackeyglass,0.7,small,10000.0,5,0.0003961056472655852,1.5521547839613537e-06,0.00013419724107842913,0.9996015616563035,0.9999984418378454,3.7243207931518554,114.98463959693909
data_efficiency,santafe,0.7,large,1000.0,5,0.05278365935465891,0.003026728510788588,4.9164878400497846e-05,0.9525290820518266,0.9972779155037047,16.515425634384155,4.674695444107056
data_efficiency,santafe,0.7,large,2000.0,5,0.20922396109493638,0.014328688365599907,7.26763472007964e-06,0.8833637554963072,0.9920121749398053,35.74136567115784,14.900588178634644
data_efficiency,santafe,0.7,large,3000.0,5,0.07919325301351399,0.0035706539085303968,2.6908213834585503e-05,0.9255886299938876,0.9966449509391149,54.117100143432616,26.51555938720703
data_efficiency,santafe,0.7,large,5000.0,5,0.08278106018549537,0.0029787755782126647,7.060979303963694e-05,0.9301651928360688,0.9974870795611583,91.66722540855407,40.58903698921203
data_efficiency,santafe,0.7,large,7000.0,5,0.04796263526310398,0.002342148079901383,0.00011694834591215228,0.9480768092975582,0.9974644470484375,130.50395965576172,38.80362272262573
data_efficiency,santafe,0.7,large,10000.0,5,0.06492724064153708,0.002164518343717308,0.0001193400920693357,0.926011839334713,0.9975334123336289,191.35853333473204,66.49139313697815
data_efficiency,santafe,0.7,medium,1000.0,5,0.019272240386022408,0.002890494938877356,0.0004295609909987499,0.9826675347403402,0.9974004369960199,2.8156176567077638,5.64908185005188
data_efficiency,santafe,0.7,medium,2000.0,5,0.12513364978319144,0.013653987385212351,3.4496679497564714e-06,0.9302416468201308,0.9923883010206975,6.318440628051758,17.505827283859254
data_efficiency,santafe,0.7,medium,3000.0,5,0.04341158373598577,0.003826256496599361,7.03061450974674e-05,0.9592097142495394,0.9964047822627243,9.876840543746948,29.51929578781128
data_efficiency,santafe,0.7,medium,5000.0,5,0.03927256520989417,0.002427837963221771,1.8059087811345812e-05,0.9668693296253963,0.9979518552238045,16.649619388580323,44.271610260009766
data_efficiency,santafe,0.7,medium,7000.0,5,0.020589593924204376,0.0016244072576855745,8.570363839602681e-05,0.9777102028287693,0.9982414559300888,23.12458691596985,54.92369065284729
data_efficiency,santafe,0.7,medium,10000.0,5,0.03779221239736209,0.002336691432415078,9.675119870816828e-05,0.9569336960091936,0.9973372116323065,33.58309926986694,60.188765144348146
data_efficiency,santafe,0.7,small,1000.0,5,0.01949126842690784,0.02687400363611927,0.7905038143147542,0.9824705521460233,0.9758308984798243,0.332594108581543,5.2553308486938475
