dataset,train_frac,budget,model_type,test_mse_mean,test_mse_std,test_mse_min,test_mse_max,test_mae_mean,test_mae_std,test_mae_min,test_mae_max,test_r2_mean,test_r2_std,test_r2_min,test_r2_max,tune_time_mean,tune_time_std,tune_time_min,tune_time_max,train_time_mean,train_time_std,train_time_min,train_time_max,trainable_params_mean,trainable_params_std,trainable_params_min,trainable_params_max,total_params_mean,total_params_std,total_params_min,total_params_max
lorenz,0.5,large,lstm,0.18312820397462368,0.07610255726624889,0.09938403710816943,0.2786090573440292,0.3400916816218706,0.0720815600230667,0.25109773704646277,0.4299670453783478,0.8856679134954007,0.04751296617200317,0.8260565322333612,0.9379517513894141,28.792254090309143,5.493373620730634,20.67121386528015,33.42417621612549,28.705545902252197,5.51084039737372,20.629777193069458,33.384501934051514,29939.0,0.0,29939,29939,29939.0,0.0,29939,29939
lorenz,0.5,large,pyreco_standard,0.00044739935583002063,6.657816748911553e-05,0.0003910876706167939,0.0005642521112113788,0.014390572346120038,0.0014148115872379718,0.013249485878527199,0.01654664509979685,0.9997206760032444,4.156662185001666e-05,0.999647721542672,0.9997558329715611,1125.5429667631786,30.27967320023022,1106.53950881958,1185.660264968872,32.07776733239492,0.8066554303541033,31.565747022628784,33.702131032943726,1500.0,0.0,1500,1500,27250.0,0.0,27250,27250
lorenz,0.5,medium,lstm,0.15320542649818192,0.03689010037634493,0.10308224378397471,0.1946829104984106,0.3144763132147928,0.0363358741570401,0.27158815092215216,0.3630535148437458,0.9043495447714246,0.023031526853045953,0.8784539853448471,0.9356428569843303,27.063432176907856,6.927960904077953,20.213245153427124,35.9394748210907,27.0214337905248,6.891793477313014,20.202622890472412,35.84667491912842,10052.0,0.0,10052,10052,10052.0,0.0,10052,10052
lorenz,0.5,medium,pyreco_standard,0.0005198639144642465,6.589281841160412e-05,0.0004020084360411919,0.0005671188467420039,0.015395426289280258,0.0009794524269409275,0.013491712908896484,0.016323538568143555,0.9996754343419029,4.113873915189467e-05,0.9996459317590802,0.9997490148306625,429.79989465077716,9.024003280009422,423.3428249359131,447.6846568584442,12.3520059188207,0.20885597373009115,12.216208696365356,12.7616548538208,900.0,0.0,900,900,10350.0,0.0,10350,10350
lorenz,0.5,small,lstm,0.3120311665802039,0.15856699911755281,0.1554260810220833,0.6046117516465024,0.41215629319630503,0.10707362012535764,0.30193060077194067,0.6078901842668504,0.8051901697538493,0.09899783575879426,0.6225238844120147,0.9029631277170712,23.940120577812195,7.427739424436496,14.143507957458496,33.367833852767944,23.893533666928608,7.439115765701036,14.12010908126831,33.3424117565155,952.0,0.0,952,952,952.0,0.0,952,952
lorenz,0.5,small,pyreco_standard,0.0010351991823520789,0.00028628084932543933,0.0005845491594736873,0.0014244398865110824,0.02098406436307006,0.002970575802787574,0.016381766298008686,0.02546184782119723,0.9993536960451893,0.00017873318319784016,0.9991106821298387,0.9996350495247778,56.53912671407064,1.9646323313919731,54.62044906616211,60.22918128967285,1.6727461020151775,0.10684286819421111,1.5902001857757568,1.8301591873168945,300.0,0.0,300,300,1450.0,0.0,1450,1450
lorenz,0.7,large,lstm,0.13758774125771603,0.06473823042766588,0.04958462482424019,0.246872920036314,0.2949217554876061,0.07511024248479295,0.17684962379680835,0.4031543958485674,0.8995266048322824,0.04727506788583798,0.8197211450360525,0.9637908467813479,161.35541388392448,343.9930390978864,27.54250407218933,1012.1252338886261,161.24245434999466,344.0193669516468,27.28455901145935,1012.0767741203308,29939.0,0.0,29939,29939,29939.0,0.0,29939,29939
lorenz,0.7,large,pyreco_standard,0.00026947942731571925,0.00011248406536439367,0.0001710197430741553,0.000421941326554433,0.010772940949120914,0.0019901102017517306,0.00894519898002356,0.013359171193491356,0.9998032127517847,8.214144549595086e-05,0.9996918775084687,0.9998751128983564,4553.58115375042,8325.436827852724,1561.358874797821,25157.688934326172,118.82742023468018,203.9478320365575,44.62233591079712,623.5539119243622,1500.0,0.0,1500,1500,27250.0,0.0,27250,27250
lorenz,0.7,medium,lstm,0.15703493032114993,0.07538049372336315,0.0797251855942626,0.2657523240585311,0.3124159866152351,0.07805130157822032,0.23121696737582245,0.42547030323896007,0.8853253024937855,0.055046576566866776,0.80593446750566,0.9417807138644138,40.398061484098434,19.25498945436453,17.448030948638916,76.57223892211914,40.268493324518204,19.23905478309362,17.40979313850403,76.50058102607727,10052.0,0.0,10052,10052,10052.0,0.0,10052,10052
lorenz,0.7,medium,pyreco_standard,0.00038944127929692324,2.9771911743805305e-05,0.0003434447859996328,0.0004139087154405882,0.013385223195061954,0.0005931848549793699,0.012371499809299878,0.014026111873076874,0.9997156106554862,2.1740927107242853e-05,0.999697743319647,0.9997491995770365,625.555139362812,20.8803679364429,607.0534610748291,654.4934477806091,18.029482543468475,0.5898038291741966,17.35282802581787,19.02427315711975,900.0,0.0,900,900,10350.0,0.0,10350,10350
lorenz,0.7,small,lstm,0.19540940216111594,0.08192558255173947,0.08910935880915029,0.3245273991945176,0.3471790266812213,0.07153224263729728,0.2414946060129208,0.45440503536454147,0.8573023591829612,0.05982612516799907,0.763013991479464,0.9349279249813137,31.990074574947357,5.605919375523352,24.676802158355713,41.090384006500244,31.93048545718193,5.59330816174655,24.64839792251587,41.06535482406616,952.0,0.0,952,952,952.0,0.0,952,952
lorenz,0.7,small,pyreco_standard,0.0007110589401112121,0.0002659735079845355,0.0003437848500645421,0.0009484217917796211,0.01800219182118719,0.0027789660423868903,0.01374842951719718,0.02039431068422966,0.9994807494822994,0.0001942270519713233,0.9993074153511056,0.9997489512453838,83.1488701403141,3.2158649600282,80.40038394927979,88.81041693687439,2.4536352455615997,0.1278602051091015,2.3303098678588867,2.6281559467315674,300.0,0.0,300,300,1450.0,0.0,1450,1450
lorenz,0.9,large,lstm,0.08170548710648032,0.01045951360061951,0.06902635407059206,0.08983562712067077,0.2349725059129315,0.011878529672856963,0.2226511045508875,0.2510667781830019,0.9333347712642898,0.008534137563378747,0.9267012186977036,0.9436799430996455,42.08751664161682,9.60405867641876,30.109413146972656,56.29547190666199,42.0250244140625,9.60279516658889,30.063525915145874,56.2490758895874,29939.0,0.0,29939,29939,29939.0,0.0,29939,29939
lorenz,0.9,large,pyreco_standard,0.0001174573396609382,2.6682537358772787e-05,8.98082827646749e-05,0.00016001394436592606,0.00743189817912879,0.0007570341243615759,0.00679529321429135,0.00869884418119374,0.999904164081355,2.1770844520560136e-05,0.9998694412507675,0.999926723529534,2042.2541815280915,26.87777376584582,2009.9977750778198,2070.7560818195343,59.65041193962097,1.1814722149902248,58.149011850357056,61.09886980056763,1500.0,0.0,1500,1500,27250.0,0.0,27250,27250
lorenz,0.9,medium,lstm,0.10663249148011116,0.010951115079808319,0.09554528187942929,0.1225913894282731,0.25783809827069515,0.013676749531950624,0.2426969696508626,0.27937010942518636,0.912996303101209,0.00893524556992216,0.8999751019584072,0.9220425910586747,36.216337823867796,5.672027860702326,28.64419984817505,42.8324921131134,36.17060551643372,5.679919050995235,28.578231811523438,42.78872108459473,10052.0,0.0,10052,10052,10052.0,0.0,10052,10052
lorenz,0.9,medium,pyreco_standard,0.00017131168083924737,3.974087763483067e-05,0.0001210882142916517,0.0002233042779326337,0.009184899366201088,0.0011391220551176906,0.00781582189730402,0.010752062408028694,0.9998602231894982,3.242541953431616e-05,0.9998178013338732,0.9999012015742292,2327.1357111930847,3453.4797863066906,773.9557430744171,8504.893285751343,22.63295383453369,0.478856910813289,22.044968843460083,23.14973497390747,900.0,0.0,900,900,10350.0,0.0,10350,10350
lorenz,0.9,small,lstm,0.24727060043047405,0.09549032688268447,0.11221948992897803,0.3549318163702475,0.36747013746812196,0.06778829510312386,0.27590447331016693,0.45154742129424635,0.7982467062973234,0.07791257000139727,0.7104036514332586,0.9084377533301958,358.58520526885985,700.4435040267509,28.010716199874878,1611.4216077327728,358.5408247470856,700.402130559965,27.98706078529358,1611.3032569885254,952.0,0.0,952,952,952.0,0.0,952,952
lorenz,0.9,small,pyreco_standard,0.0003762811179163203,0.00011319288408604307,0.00022664786405769571,0.0005258369622535695,0.013387402645116401,0.001903034074936185,0.010277703824337124,0.01539866638129059,0.9996929843064013,9.235645947522822e-05,0.9995709585413689,0.9998150732314933,290.61078662872313,416.1660801183905,103.62315511703491,1035.0703251361847,3.0460614204406737,0.0766096666399236,2.9120259284973145,3.1016640663146973,300.0,0.0,300,300,1450.0,0.0,1450,1450
mackeyglass,0.5,large,lstm,0.09756853791201466,0.038048577421404065,0.04573361681032146,0.14256490047724923,0.24590261795158597,0.05069335954889349,0.1771662330583769,0.3091462633124414,0.901909233962825,0.038536244864325386,0.8566601991753001,0.9544000937186259,28.173688888549805,6.878989531583038,22.637256145477295,39.863994121551514,28.105991268157958,6.822419867859101,22.596418142318726,39.69036817550659,29449.0,0.0,29449,29449,29449.0,0.0,29449,29449
mackeyglass,0.5,large,pyreco_standard,0.01011702326174486,0.00074210645253481,0.009419598565484263,0.01095367749922971,0.08206771512902626,0.0034115507474917466,0.07852229811904184,0.08605954840699909,0.9898449542331956,0.0007075189658101693,0.9890674491066604,0.9904595936821914,1057.232095336914,18.75521209402501,1039.8129169940948,1081.4210267066956,30.179134941101076,0.47615045703888725,29.76526689529419,30.806006908416748,500.0,0.0,500,500,25750.0,0.0,25750,25750
mackeyglass,0.5,medium,lstm,0.07558229642385227,0.024025095350403862,0.04061800254015922,0.10512387340386356,0.2274487098978871,0.037587343417813036,0.1671555716661268,0.26172866292163116,0.9241282656386941,0.024087973703626538,0.894466261621199,0.9591612214892073,35.109192514419554,7.751434153245399,28.10607385635376,46.505496978759766,35.083495426177976,7.765101205684643,28.027656078338623,46.491288900375366,9772.0,0.0,9772,9772,9772.0,0.0,9772,9772
mackeyglass,0.5,medium,pyreco_standard,0.009854311116465763,0.001138064983620456,0.008404309964015174,0.011283176617698638,0.08132005571577523,0.005554455916233674,0.07387556760866645,0.08824194265258678,0.9901032465450067,0.0011770115278023898,0.9886728316727887,0.9915900048371227,397.4113418102264,6.397715268590548,391.2522130012512,404.0757040977478,11.487531900405884,0.2605766062761598,11.220938205718994,11.827375888824463,300.0,0.0,300,300,9450.0,0.0,9450,9450
mackeyglass,0.5,small,lstm,0.08809307866197723,0.027742763991670926,0.05555044923105245,0.11517356943732958,0.23759852181217553,0.05576576810480367,0.17437333057542317,0.29099740072593383,0.9116537012750998,0.027532576004107544,0.8847485199847982,0.9437371079970444,39.79415197372437,12.887140787029121,20.145963191986084,53.401965856552124,39.767541599273684,12.886574500663539,20.12083387374878,53.374738931655884,872.0,0.0,872,872,872.0,0.0,872,872
mackeyglass,0.5,small,pyreco_standard,0.00896862326635507,0.00125038933274039,0.007987636045921516,0.011067781782648067,0.07766344438910215,0.005368459855437789,0.07318053448705736,0.08670750390938921,0.9909958453166574,0.001254424083204532,0.9888890663056493,0.9919689477841336,48.74386968612671,0.9914808873173936,47.92726397514343,50.279250144958496,1.394261407852173,0.016495891545719798,1.3758058547973633,1.4101998805999756,100.0,0.0,100,100,1150.0,0.0,1150,1150
mackeyglass,0.7,large,lstm,0.05273721220010917,0.021444342220461605,0.026645191514402547,0.08460346966441984,0.1736091415759578,0.04315974552455456,0.12793970674944527,0.2434348385158059,0.9475326519949812,0.02124511582404881,0.9162482636294504,0.9738698774493532,44.06694927215576,10.992889203798317,32.63457727432251,56.46559286117554,43.97484560012818,10.94565477235489,32.58901810646057,56.4209508895874,29449.0,0.0,29449,29449,29449.0,0.0,29449,29449
mackeyglass,0.7,large,pyreco_standard,0.009374629797893223,0.0009447518782657615,0.008256493262631004,0.010371029513958884,0.07893452274009757,0.004568081922290364,0.0733679169557105,0.08420482965744676,0.990678550658908,0.0009317464882391848,0.989622845778079,0.9917016803042136,1500.684364080429,24.787661425538566,1480.0559239387512,1536.994266986847,43.40889782905579,0.7591187406093243,42.94566202163696,44.752907037734985,500.0,0.0,500,500,25750.0,0.0,25750,25750
mackeyglass,0.7,medium,lstm,0.045413374973070755,0.02051541069931144,0.02603481542813931,0.07593683456783348,0.15554963192922497,0.02878596522555804,0.11936752515918926,0.19290508286436095,0.9547952091782165,0.02066706038055875,0.9236784782733384,0.9739498094694052,40.57359771728515,4.665951008319825,33.75027084350586,46.35182476043701,40.50911016464234,4.631801779805231,33.70697379112244,46.20138716697693,9772.0,0.0,9772,9772,9772.0,0.0,9772,9772
mackeyglass,0.7,medium,pyreco_standard,0.009325591137064606,0.0011113815726425081,0.008107323528489195,0.010793054579585973,0.07911242541300685,0.005709029543262241,0.07209422470875612,0.08637340932872753,0.9907192051242519,0.0011759850803872219,0.9892005714816232,0.9920493963331937,572.1040416240692,11.404047523708961,562.251946926117,587.3068490028381,16.661058807373045,0.43907361520460575,16.303090810775757,17.23765778541565,300.0,0.0,300,300,9450.0,0.0,9450,9450
mackeyglass,0.7,small,lstm,0.09237507232131167,0.026400917221670785,0.04945458405544526,0.1176870328378189,0.23622238552297858,0.037956333445770464,0.1820671807745163,0.2804359839182838,0.9081348241881795,0.026149909002015397,0.8845879344116565,0.9510432928749172,42.871103572845456,15.895899806452283,23.895025968551636,57.55491089820862,42.834318447113034,15.881528439839242,23.871373176574707,57.473857164382935,872.0,0.0,872,872,872.0,0.0,872,872
